id,formattedAddress,addressLine1,addressLine2,city,state,zipCode,latitude,longitude,propertyType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,features,taxAssessments,propertyTaxes,zoning,owner,ownerOccupied
"1505-Natalie-Ln,-Ann-Arbor,-MI-48105","1505 Natalie Ln, Ann Arbor, MI 48105",1505 Natalie Ln,,Ann Arbor,MI,48105,42.29336,-83.68327,Apartment,1.0,1.0,800.0,,,,,,,,
"1100-Rabbit-Run-Cir,-Ann-Arbor,-MI-48103","1100 Rabbit Run Cir, Ann Arbor, MI 48103",1100 Rabbit Run Cir,,Ann Arbor,MI,48103,42.269316,-83.788845,Apartment,1.0,1.0,770.0,,1998.0,{'unitCount': 368},"{'2018': {'year': 2018, 'value': 6999400, 'land': None, 'improvements': None}, '2019': {'year': 2019, 'value': 9431800, 'land': None, 'improvements': None}, '2020': {'year': 2020, 'value': 9652500, 'land': None, 'improvements': None}, '2021': {'year': 2021, 'value': 8464500, 'land': None, 'improvements': None}, '2022': {'year': 2022, 'value': 8464500, 'land': None, 'improvements': None}, '2023': {'year': 2023, 'value': 8464500, 'land': None, 'improvements': None}, '2024': {'year': 2024, 'value': 11456500, 'land': None, 'improvements': None}}","{'2018': {'year': 2018, 'total': 167904}, '2019': {'year': 2019, 'total': 473162}, '2020': {'year': 2020, 'total': 506913}, '2021': {'year': 2021, 'total': 441712}, '2022': {'year': 2022, 'total': 436024}, '2023': {'year': 2023, 'total': 444247}, '2024': {'year': 2024, 'total': 417253}}",,,
"618-S-Main-St,-Ann-Arbor,-MI-48104","618 S Main St, Ann Arbor, MI 48104",618 S Main St,,Ann Arbor,MI,48104,42.2732,-83.74962,Apartment,0.0,1.0,447.0,,2015.0,,,,,,
"3050-Birch-Hollow-Dr,-Ann-Arbor,-MI-48108","3050 Birch Hollow Dr, Ann Arbor, MI 48108",3050 Birch Hollow Dr,,Ann Arbor,MI,48108,42.238928,-83.719254,Apartment,,1.0,,,1975.0,,,,,,
"2225-Traverwood-Dr,-Ann-Arbor,-MI-48105","2225 Traverwood Dr, Ann Arbor, MI 48105",2225 Traverwood Dr,,Ann Arbor,MI,48105,42.304632,-83.71612,Apartment,1.0,1.0,706.0,,2016.0,,,,,,
"2555-Oak-Valley-Dr,-Ann-Arbor,-MI-48103","2555 Oak Valley Dr, Ann Arbor, MI 48103",2555 Oak Valley Dr,,Ann Arbor,MI,48103,42.2497,-83.770521,Apartment,2.0,2.0,1405.0,,2016.0,,,,,,
"2550-Packard-St,-Ann-Arbor,-MI-48104","2550 Packard St, Ann Arbor, MI 48104",2550 Packard St,,Ann Arbor,MI,48104,42.2499,-83.72335,Apartment,,,,,2018.0,,,,,,
"2167-Medford-Rd,-Ann-Arbor,-MI-48104","2167 Medford Rd, Ann Arbor, MI 48104",2167 Medford Rd,,Ann Arbor,MI,48104,42.25747,-83.71173,Apartment,2.0,1.0,650.0,,1964.0,,,,,,
"2200-Fuller-Ct,-Ann-Arbor,-MI-48105","2200 Fuller Ct, Ann Arbor, MI 48105",2200 Fuller Ct,,Ann Arbor,MI,48105,42.285303,-83.717192,Apartment,,1.0,,,1960.0,,,,,,
"275-Harbor-Way,-Ann-Arbor,-MI-48103","275 Harbor Way, Ann Arbor, MI 48103",275 Harbor Way,,Ann Arbor,MI,48103,42.24851,-83.7478,Apartment,1.0,1.0,734.0,,1990.0,,,,,,
